Date,Symbol,rv5_ss,open_time,rk_twoscale,nobs,close_price,bv_ss,rv10,open_price,bv,close_time,rv5,rsv_ss,medrv,rsv,open_to_close,rk_th2,rv10_ss,rk_parzen
2009-04-28 00:00:00+01:00,.OMXHPI,0.000280507,110100,0.000228326,1031,5282.75,0.00022059,0.000209033,5324.22,0.00022059,193001,0.000280507,0.000176955,7.780000000000001e-05,0.000176955,-0.007819427,0.00023286400000000003,0.000209033,0.000347669
2009-04-29 00:00:00+01:00,.OMXHPI,0.000185275,110001,0.00020277,1032,5439.63,0.000215827,0.00024310599999999999,5282.75,0.000215827,193000,0.000185275,5.5700000000000005e-05,6.75e-05,5.5700000000000005e-05,0.029264248,0.000209538,0.00024310599999999999,0.000323241
2009-04-30 00:00:00+01:00,.OMXHPI,0.000312917,110100,0.000253583,1033,5606.79,0.000275925,0.000388538,5491.87,0.000275925,193001,0.000312917,0.00010227700000000001,0.000108646,0.00010227700000000001,0.020709546000000002,0.000272762,0.000388538,0.000319967
2009-05-04 00:00:00+01:00,.OMXHPI,0.000204379,110002,0.00017567,1043,5872.99,0.000167723,0.00028948,5606.79,0.000167723,192911,0.000204379,2.0600000000000003e-05,6.02e-05,2.0600000000000003e-05,0.046385511,0.00019140099999999998,0.00028948,0.000569715
2009-05-05 00:00:00+01:00,.OMXHPI,0.00013877,110002,0.000154391,1041,5800.61,0.000133584,0.000145353,5872.99,0.000133584,192955,0.00013877,9.71e-05,6.94e-05,9.71e-05,-0.012400788999999999,0.000158921,0.000145353,0.000291044
2009-05-06 00:00:00+01:00,.OMXHPI,0.00030605,110001,0.000263948,1041,5935.09,0.000303478,0.000325799,5800.61,0.000303478,192955,0.00030605,0.00011029200000000001,0.000134925,0.00011029200000000001,0.022919107999999997,0.000277716,0.000325799,0.000607231
2009-05-07 00:00:00+01:00,.OMXHPI,0.000492688,110001,0.00036207800000000005,1043,5883.23,0.000403571,0.000712752,5935.09,0.000403571,192956,0.000492688,0.000228758,8.88e-05,0.000228758,-0.008776261,0.000409112,0.000712752,0.0015339179999999998
2009-05-08 00:00:00+01:00,.OMXHPI,0.000373287,110101,0.00034840699999999996,1030,5970.6,0.000309594,0.000452068,5913.77,0.000309594,193001,0.000373287,0.00014025799999999998,0.000154284,0.00014025799999999998,0.009563895,0.000375768,0.000452068,0.0004396
2009-05-11 00:00:00+01:00,.OMXHPI,0.0003056,110002,0.00025895599999999996,1043,5741.3,0.00032079,0.000341639,5970.6,0.00032079,192955,0.0003056,0.00022396099999999998,0.00020717,0.00022396099999999998,-0.039161759,0.000278921,0.000341639,0.000592168
2009-05-12 00:00:00+01:00,.OMXHPI,0.00035281900000000004,110001,0.000276046,1042,5638.64,0.000326326,0.0004917680000000001,5741.3,0.000326326,192956,0.00035281900000000004,0.000225913,0.000151829,0.000225913,-0.018042764,0.00030167299999999997,0.0004917680000000001,0.000370018
